areaName,value_float
"Tuscaloosa, AL",91470.0
"Binghamton, NY",91610.0
Southern Pennsylvania nonmetropolitan area,91900.0
"Beaumont-Port Arthur, TX",91970.0
"Springfield, IL",92370.0
"Albany, GA",92820.0
"Cleveland-Elyria, OH",92990.0
"Sacramento--Roseville--Arden-Arcade, CA",93020.0
"Wichita, KS",93030.0
"Port St. Lucie, FL",93160.0
"Bangor, ME",93220.0
Northeast Maine nonmetropolitan area,93270.0
"Jackson, MI",93330.0
"Miami-Fort Lauderdale-West Palm Beach, FL",93540.0
"Sioux City, IA-NE-SD",93560.0
"Macon, GA",94120.0
"Napa, CA",94230.0
Central New Hampshire nonmetropolitan area,94390.0
"Columbus, OH",94390.0
Central Oregon nonmetropolitan area,94570.0
"Charleston-North Charleston, SC",94650.0
"Danbury, CT",95240.0
"Eugene, OR",95380.0
"Huntington-Ashland, WV-KY-OH",95520.0
"Omaha-Council Bluffs, NE-IA",95550.0
"Tucson, AZ",95960.0
"Bend-Redmond, OR",95970.0
Coast Oregon nonmetropolitan area,96000.0
Northeastern Wisconsin nonmetropolitan area,96020.0
"New Haven, CT",96120.0
"Detroit-Warren-Dearborn, MI",96970.0
"La Crosse-Onalaska, WI-MN",97020.0
"North Port-Sarasota-Bradenton, FL",97090.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",97290.0
"Houston-The Woodlands-Sugar Land, TX",97490.0
"Provo-Orem, UT",97650.0
"Lakeland-Winter Haven, FL",97660.0
"Buffalo-Cheektowaga-Niagara Falls, NY",97770.0
"Palm Bay-Melbourne-Titusville, FL",97770.0
"Salt Lake City, UT",98010.0
"Saginaw, MI",98260.0
"Midland, TX",98340.0
"Reading, PA",98350.0
"Sierra Vista-Douglas, AZ",98390.0
Southeast Coastal North Carolina nonmetropolitan area,98560.0
"Waterloo-Cedar Falls, IA",98600.0
"Allentown-Bethlehem-Easton, PA-NJ",98780.0
Southwest Colorado nonmetropolitan area,98900.0
"Janesville-Beloit, WI",98980.0
"Naples-Immokalee-Marco Island, FL",99100.0
"Ann Arbor, MI",99220.0
"Albany-Schenectady-Troy, NY",99250.0
"Peoria, IL",99530.0
"Redding, CA",100240.0
"Worcester, MA-CT",100340.0
"Little Rock-North Little Rock-Conway, AR",100370.0
"Pueblo, CO",100380.0
"Davenport-Moline-Rock Island, IA-IL",100420.0
"Green Bay, WI",100510.0
"Atlantic City-Hammonton, NJ",100580.0
